Country,HDI,LE,EYS,MYS,GNI
Norway,0.9536883368836102,82.271,18.06082,12.56681764,68058.61613
Switzerland,0.9459361166291521,83.63,16.20882,13.38081241,59374.73403
Ireland,0.9424728207975246,82.103,18.79326,12.52629458,55659.67902
Germany,0.9387847060566997,81.18,17.09638,14.13215,46945.9499
"Hong Kong, China (SAR)",0.9388091495938403,84.687,16.51223,12.03813,60220.79676
Australia,0.9383785524041984,83.281,22.10372,12.68304986,44097.01934
Iceland,0.9384738750453867,82.855,19.17451,12.53666119,47566.45467
Sweden,0.9366276343879673,82.654,18.83223,12.42604923,47955.44724
Singapore,0.9348189742470822,83.458,16.32817,11.49649,83792.67432
Netherlands,0.9334946999612731,82.143,18.04483,12.1900128,50012.5936
Denmark,0.9299461150555088,80.784,19.06606,12.58778516,48836.09375
Finland,0.9251917244683008,81.736,19.31641,12.43960917,41779.26491
Canada,0.9221113093449915,82.315,16.09144,13.31536312,43602.24929
New Zealand,0.9208861411386577,82.145,18.8376,12.678166,35107.50023
United Kingdom,0.9203515484535394,81.236,17.4429,12.95067,39507.28595
United States,0.9199257493746031,78.851,16.27437,13.41344,56140.23348
Belgium,0.9188411969105712,81.468,19.69991,11.78389183,43820.84204
Liechtenstein,0.9167243531731516,80.537,14.72093,12.54845788,99732.14199
Japan,0.9146963762009753,84.47,15.23057,12.8,40799.0143
Austria,0.913808548217478,81.434,16.28676,12.55851074,46230.57167
Luxembourg,0.9087199366384889,82.102,14.22752,12.19580174,65543.05171
Israel,0.9062349434905423,82.819,15.99117,12.95921504,33649.6895
Korea (Republic of),0.9058318880274264,82.846,16.39381,12.18500103,36757.02363
Slovenia,0.901601081018893,81.172,17.42218,12.27337909,32143.04239
Spain,0.8927884608254639,83.433,17.87704,9.819481806,35041.29991
Czechia,0.8907546579335381,79.222,16.83158,12.74035051,31597.07111
France,0.8910567777248105,82.541,15.4858,11.41703591,40510.78081
Malta,0.8852656831224471,82.376,15.89665,11.28811066,34795.17858
Italy,0.882583978567803,83.352,16.2469,10.24509,36141.42829
Estonia,0.8815422978950281,78.567,16.06362,13.0290394,30378.62982
Cyprus,0.872955393887627,80.828,14.67400082,12.10394114,33100.31857
Greece,0.8719521259263978,82.072,17.33672,10.53957898,24909.34008
Poland,0.8717678678969172,78.544,16.4332,12.29398111,27625.79535
Lithuania,0.869307679134763,75.737,16.49953,12.96103366,29775.26288
United Arab Emirates,0.866437670203764,77.814,13.64343,10.95412,66911.66289
Andorra,0.8567813450249088,81.786,13.30023874,10.15545101,48640.89418
Saudi Arabia,0.8569628131345028,74.998,16.9791,9.67145098,49338.40957
Slovakia,0.8568782254854003,77.388,14.53309,12.60562251,30671.87284
Latvia,0.8539015185797694,75.172,15.98269,12.82536903,26300.76872
Portugal,0.8502116187258604,81.857,16.29655,9.190958665,27935.3848
Qatar,0.848440767290782,80.1,12.17887,9.66734,110488.7358
Chile,0.8469479816941982,80.042,16.53156,10.4469855,21972.27872
Brunei Darussalam,0.8445869345365538,75.722,14.3801,9.1,76388.54336
Hungary,0.8446999355453134,76.701,15.11709,11.88941481,27144.21153
Bahrain,0.837770190229584,77.163,15.25713,9.411832983,40399.11872
Croatia,0.8373133194117741,78.342,14.96245,11.40518282,23060.96179
Oman,0.8337894330533687,77.633,14.6641,9.731845912,37039.23091
Argentina,0.8300958121179323,76.52,17.63836,10.56496472,17611.21813
Russian Federation,0.8240378901430633,72.386,15.53573,12.01999,25036.02024
Belarus,0.817067987091786,74.59,15.35894,12.30584324,17038.52852
Kazakhstan,0.8172438488404485,73.236,15.26522,11.784,22167.69698
Bulgaria,0.8157107862209694,74.928,14.81046,11.81482978,19645.936
Montenegro,0.8159339996476984,76.77,15.03186,11.38676801,17510.70768
Romania,0.8155696564630364,75.924,14.26345,10.97836,23905.77107
Palau,0.8142458550788096,73.678,15.5532,12.4,16720.01271
