Country,kwh_pop
China,3980.2625903131166
United States,11647.81689493333
India,848.9316028530355
Japan,7568.533868162492
Russia,6391.195551963982
Germany,6714.350780287032
Canada,13762.665599036623
Brazil,2385.15310919044
"Korea, South",9815.303295385596
France,6621.211491644238
United Kingdom,4681.15491176992
Saudi Arabia,8515.468872439513
Italy,4704.2520861074
Mexico,1986.8306841092738
Spain,5067.647915649964
Taiwan,10071.248782244329
Iran,2751.2283017679465
Turkey,2801.810418110738
Australia,8888.03719399474
Indonesia,775.6555215109177
South Africa,3634.695706557379
Thailand,2701.4766153160626
Egypt,1500.414690380785
Poland,3912.437552560286
Vietnam,1393.1370759908993
Malaysia,4084.201253447033
Sweden,13009.455389115734
Ukraine,3044.8748721015395
Norway,22179.50479445752
Argentina,2638.180653061344
United Arab Emirates,11484.676479098498
Netherlands,6275.449673748715
Kazakhstan,4896.134963105963
Pakistan,387.6463144416444
Finland,14817.156043856921
Belgium,6975.21878636287
Philippines,706.561843449628
Chile,3999.3609324923495
Venezuela,2475.4763236479575
Colombia,1355.3593290921674
Austria,7270.792214714823
Czechia,5824.755040739648
Switzerland,6915.437892956214
Kuwait,19056.319702908742
Greece,5382.365048478657
Algeria,1284.17277025463
Israel,6259.214559615889
Bangladesh,326.9371507599768
Romania,2338.1607906638615
Uzbekistan,1590.9711946997284
Singapore,8129.70848457563
Portugal,4573.3326188516
Peru,1385.3510661582304
Hong Kong,5760.519349920435
New Zealand,7913.544823319594
Hungary,4046.9403969044247
Iraq,969.9838424298322
Qatar,15016.159306772795
Denmark,5601.654506846589
Bulgaria,4673.964255880032
Belarus,3359.5139592465116
Serbia,4274.270825312802
Oman,7827.31195979165
Morocco,772.6640908097199
Libya,3890.4273256775045
Slovakia,4900.602752063716
Bahrain,17099.68177957194
Ireland,4914.9416522931415
Nigeria,112.63813447336491
Ecuador,1326.8466057093367
Azerbaijan,1968.4344420397688
Puerto Rico,6198.335931352475
Iceland,49910.51113106026
Jordan,1541.7660480933844
Cuba,1464.7840445134818
Croatia,3784.771249423553
Lebanon,2985.913180060258
Dominican Republic,1475.8409368079635
Tunisia,1292.8259167994133
Turkmenistan,2704.3548715754023
Burma,261.61268114641166
Syria,694.6517116394781
"Korea, North",537.7184941094855
Slovenia,6374.559608316612
Tajikistan,1441.4616421050946
Sri Lanka,549.8148052759483
Georgia,2507.259296013478
Sudan,259.24494865923305
Bosnia and Herzegovina,3103.444849928702
Mozambique,374.57871226119477
Zambia,578.682591340644
Paraguay,1498.768191298922
Uruguay,3169.2885638708754
Kyrgyzstan,1747.8599100250897
Lithuania,3872.301098332108
Guatemala,579.6994642830803
Trinidad and Tobago,8080.770027689352
Costa Rica,1904.8210687342996
Ghana,289.22349191633776
Ethiopia,81.73460567891715
Angola,268.58767291966274
Estonia,7208.768222733316
Panama,2216.5397442274007
Kenya,143.78701045739172
Bolivia,662.0534678972953
"Congo, Democratic Republic of the",70.73182958796396
Honduras,772.5001088668782
Zimbabwe,479.97341602703926
Latvia,3649.566459635999
West Bank,2200.223379128089
Luxembourg,10123.688806405364
Cameroon,224.7567195194953
Cote d'Ivoire,222.33333944497838
Mongolia,1854.379909675568
El Salvador,908.069456284222
Cambodia,338.46955244755327
Tanzania,91.50825166237978
Afghanistan,147.4920978559624
Laos,722.3056323204244
Armenia,1756.868172461963
Albania,1654.5864586183393
Macau,8053.667853222419
Nepal,163.7804430966001
Moldova,1323.7561580986048
Cyprus,3398.345384258833
Kosovo,2044.6875586161852
Namibia,1452.8463429232643
Brunei,8004.618947448859
Yemen,121.08854157980184
Botswana,1546.7950160528906
Nicaragua,574.9583075149293
Senegal,217.44210238718722
Papua New Guinea,437.44679723942284
Uganda,69.46658763369942
Mali,148.08173813994142
Jamaica,1010.7924371281423
Montenegro,4622.876654143632
New Caledonia,9328.764883790633
Mauritius,1966.6279256836845
Bhutan,2547.16750075517
Malta,4604.1254873712005
Gabon,906.3806396045012
Suriname,2846.690275218016
"Bahamas, The",4690.136252144447
Guam,9484.540968359192
Madagascar,57.63708856216493
Burkina Faso,72.5354129250249
Eswatini,1285.3955353389456
Malawi,65.04664893550495
Togo,152.2360530467191
Benin,85.92890499510814
Niger,45.11609387655144
Mauritania,259.60438155323334
Barbados,3279.6117469729847
Curacao,6373.242914046812
"Congo, Republic of the",168.34600420052814
Aruba,7222.309518099192
Fiji,904.7028583288542
Lesotho,389.0730757574366
Guyana,1002.7018760842722
Virgin Islands,6183.999244356286
Jersey,6209.349994087272
French Polynesia,2119.7762776203585
Cayman Islands,9694.128082875292
Bermuda,8386.049608789745
Marshall Islands,7668.30307873806
Guinea,43.18252658392746
Rwanda,40.73975294387788
Greenland,8097.025900102078
Equatorial Guinea,542.585366764371
Belize,1116.7730436133154
Haiti,36.2735572732858
Liechtenstein,9983.512999365885
South Sudan,35.66982523970614
Burundi,31.263619627867346
Djibouti,401.8486529918064
Maldives,957.0761949374023
Cabo Verde,623.2918427485915
Eritrea,57.56907231319658
Saint Lucia,2059.5666028553082
Seychelles,3377.011422702232
Somalia,26.06939933722707
Antigua and Barbuda,3103.604739097555
Faroe Islands,5496.409525826387
"Gambia, The",127.31277751191756
Liberia,53.509473478288385
Sierra Leone,40.98555119763747
Gibraltar,7819.48773546551
Andorra,2587.424835075019
Turks and Caicos Islands,3821.9455906007415
Chad,11.978793286454868
Saint Kitts and Nevis,3571.6264381613696
Grenada,1629.831821783922
"Micronesia, Federated States of",1756.5773297270716
Central African Republic,29.749995520703308
American Samoa,3390.4153905879307
Saint Vincent and the Grenadines,1443.4722428197142
Samoa,599.3225897763765
British Virgin Islands,3101.0002375234226
Dominica,1389.0378633487076
Solomon Islands,138.7058751980168
Sao Tome and Principe,286.89214201581694
Vanuatu,193.36059324970546
Tonga,457.1752694271129
Saint Pierre and Miquelon,8039.842134937042
Comoros,45.19081143306704
Guinea-Bissau,18.353526260419688
Cook Islands,3797.2859373123574
Kiribati,238.67045424376775
Montserrat,4143.307963616113
Nauru,2284.544524053224
Falkland Islands (Islas Malvinas),5525.328330206379
"Saint Helena, Ascension, and Tristan da Cunha",822.4889450410612
Niue,1395.0
Gaza Strip,0.10321594308202806
Northern Mariana Islands,0.934977448266517
Timor-Leste,0.0
