,County,total_population,white_total,black_total,aian_total,asian_total,nhopi_total,multiracial_total,State,white_total_pct,black_total_pct,aian_total_pct,asian_total_pct,nhopi_total_pct,multiracial_total_pct
0,Adams,20150.0,18056.0,446.0,1109.0,287.0,11.0,241.0,Washington,89.61,2.21,5.5,1.42,0.05,1.2
1,Asotin,22520.0,21087.0,144.0,356.0,184.0,58.0,691.0,Washington,93.64,0.64,1.58,0.82,0.26,3.07
2,Benton,201801.0,181938.0,3378.0,2504.0,6850.0,473.0,6658.0,Washington,90.16,1.67,1.24,3.39,0.23,3.3
3,Chelan,78421.0,73391.0,511.0,1497.0,929.0,193.0,1900.0,Washington,93.59,0.65,1.91,1.18,0.25,2.42
4,Clallam,76011.0,65939.0,791.0,4243.0,1420.0,143.0,3475.0,Washington,86.75,1.04,5.58,1.87,0.19,4.57
5,Clark,488501.0,420167.0,11609.0,5210.0,25227.0,4054.0,22234.0,Washington,86.01,2.38,1.07,5.16,0.83,4.55
6,Columbia,4161.0,3855.0,17.0,80.0,39.0,49.0,121.0,Washington,92.65,0.41,1.92,0.94,1.18,2.91
7,Cowlitz,108950.0,99052.0,974.0,2091.0,1981.0,403.0,4449.0,Washington,90.92,0.89,1.92,1.82,0.37,4.08
8,Douglas,42820.0,40161.0,246.0,754.0,444.0,106.0,1109.0,Washington,93.79,0.57,1.76,1.04,0.25,2.59
9,Ferry,7831.0,5966.0,40.0,1225.0,105.0,15.0,480.0,Washington,76.18,0.51,15.64,1.34,0.19,6.13
10,Franklin,94680.0,86188.0,2175.0,1234.0,2214.0,406.0,2463.0,Washington,91.03,2.3,1.3,2.34,0.43,2.6
11,Garfield,2221.0,2135.0,0.0,13.0,29.0,1.0,43.0,Washington,96.13,0.0,0.59,1.31,0.05,1.94
12,Grant,98742.0,91284.0,1775.0,1923.0,1175.0,132.0,2453.0,Washington,92.45,1.8,1.95,1.19,0.13,2.48
13,Grays Harbor,74161.0,64456.0,977.0,3928.0,1304.0,251.0,3245.0,Washington,86.91,1.32,5.3,1.76,0.34,4.38
14,Island,84822.0,72374.0,2222.0,800.0,4536.0,515.0,4375.0,Washington,85.32,2.62,0.94,5.35,0.61,5.16
15,Jefferson,31902.0,28855.0,312.0,828.0,631.0,85.0,1191.0,Washington,90.45,0.98,2.6,1.98,0.27,3.73
16,King,2226300.0,1493409.0,156285.0,22706.0,411413.0,20308.0,122179.0,Washington,67.08,7.02,1.02,18.48,0.91,5.49
17,Kitsap,270101.0,220256.0,8489.0,4627.0,15779.0,2956.0,17994.0,Washington,81.55,3.14,1.71,5.84,1.09,6.66
18,Kittitas,46573.0,42939.0,465.0,544.0,1009.0,79.0,1537.0,Washington,92.2,1.0,1.17,2.17,0.17,3.3
19,Klickitat,22431.0,20832.0,128.0,497.0,183.0,24.0,767.0,Washington,92.87,0.57,2.22,0.82,0.11,3.42
20,Lewis,79481.0,73213.0,610.0,1522.0,961.0,192.0,2983.0,Washington,92.11,0.77,1.91,1.21,0.24,3.75
21,Lincoln,10960.0,10363.0,47.0,198.0,59.0,8.0,285.0,Washington,94.55,0.43,1.81,0.54,0.07,2.6
22,Mason,64980.0,56911.0,817.0,2977.0,978.0,311.0,2986.0,Washington,87.58,1.26,4.58,1.51,0.48,4.6
23,Okanogan,42731.0,35071.0,275.0,5268.0,425.0,128.0,1564.0,Washington,82.07,0.64,12.33,0.99,0.3,3.66
24,Pacific,21640.0,19466.0,201.0,590.0,524.0,27.0,832.0,Washington,89.95,0.93,2.73,2.42,0.12,3.84
25,Pend Oreille,13742.0,12508.0,80.0,535.0,122.0,22.0,475.0,Washington,91.02,0.58,3.89,0.89,0.16,3.46
26,Pierce,888300.0,656286.0,68268.0,14495.0,64794.0,15208.0,69249.0,Washington,73.88,7.69,1.63,7.29,1.71,7.8
27,San Juan,17152.0,16133.0,98.0,162.0,262.0,21.0,476.0,Washington,94.06,0.57,0.94,1.53,0.12,2.78
28,Skagit,129200.0,116454.0,1284.0,3616.0,3066.0,410.0,4370.0,Washington,90.13,0.99,2.8,2.37,0.32,3.38
29,Skamania,12060.0,11201.0,62.0,201.0,138.0,20.0,438.0,Washington,92.88,0.51,1.67,1.14,0.17,3.63
30,Snohomish,818701.0,637831.0,26438.0,12747.0,94388.0,5006.0,42291.0,Washington,77.91,3.23,1.56,11.53,0.61,5.17
31,Spokane,515252.0,456598.0,10225.0,8926.0,13566.0,3050.0,22887.0,Washington,88.62,1.98,1.73,2.63,0.59,4.44
32,Stevens,45570.0,40527.0,209.0,2608.0,354.0,90.0,1782.0,Washington,88.93,0.46,5.72,0.78,0.2,3.91
33,Thurston,285802.0,233292.0,9228.0,4547.0,18465.0,2783.0,17487.0,Washington,81.63,3.23,1.59,6.46,0.97,6.12
34,Wahkiakum,4191.0,3905.0,18.0,60.0,39.0,8.0,161.0,Washington,93.18,0.43,1.43,0.93,0.19,3.84
35,Walla Walla,62200.0,56879.0,1356.0,852.0,1059.0,247.0,1807.0,Washington,91.45,2.18,1.37,1.7,0.4,2.91
36,Whatcom,225300.0,194805.0,2767.0,7282.0,10092.0,751.0,9603.0,Washington,86.46,1.23,3.23,4.48,0.33,4.26
37,Whitman,50131.0,41057.0,997.0,422.0,5270.0,117.0,2268.0,Washington,81.9,1.99,0.84,10.51,0.23,4.52
38,Yakima,255952.0,223423.0,3876.0,15049.0,4341.0,566.0,8697.0,Washington,87.29,1.51,5.88,1.7,0.22,3.4
