County,total_population,white_total,black_total,aian_total,asian_total,nhopi_total,multiracial_total,State
Adams,20150,18056,446,1109,287,11,241,Washington
Asotin,22520.01,21087,144,355.99,184,58,691,Washington
Benton,201799.99,181938,3378,2503.99,6850,472.01,6658,Washington
Chelan,78420,73391,510.01,1497,929,193,1900,Washington
Clallam,76010,65939,791,4242.01,1420,143,3475,Washington
Clark,488500,420167,11609,5210,25226.99,4053.01,22234,Washington
Columbia,4160,3855,17,80,39,48.01,121,Washington
Cowlitz,108950,99051.99,974,2091,1981,402.99,4449,Washington
Douglas,42819.99,40160.99,245.99,754,444,106,1108.99,Washington
Ferry,7830,5965.99,40,1225,104.01,15,479.99,Washington
Franklin,94680,86188,2175,1233.99,2214,406,2463,Washington
Garfield,2220,2135,0,13,28.01,1,42.99,Washington
Grant,98740.01,91284,1774.01,1923,1175,132,2452.01,Washington
Grays Harbor,74160.01,64456,977,3927.01,1304,251,3245,Washington
Island,84820,72374,2221.01,800,4536,515,4374.01,Washington
Jefferson,31900,28855,311.01,827.99,630.01,85,1191,Washington
King,2226299.99,1493409,156285,22706,411413,20308,122179,Washington
Kitsap,270100,220256,8489,4626.01,15779,2955.99,17994,Washington
Kittitas,46570,42939,465,543.01,1008.01,79,1536.01,Washington
Klickitat,22430,20832,128,497,183,23.01,767,Washington
Lewis,79480,73213,610,1522,961,191.99,2982.01,Washington
Lincoln,10960,10363,47,198,59,8,285,Washington
Mason,64980,56911,816.99,2977,978,311,2986,Washington
Okanogan,42730,35070.99,274.01,5268,425,128,1564,Washington
Pacific,21639.99,19466,201,590,523.99,26.99,832,Washington
Pend Oreille,13740.01,12507.99,80,535,122,21.01,474.01,Washington
Pierce,888300,656286,68267.99,14495,64794,15208,69249,Washington
San Juan,17149.99,16132.99,97.01,162,261.99,21,475.01,Washington
Skagit,129200,116454,1283.99,3616,3066,410,4370,Washington
Skamania,12060,11201,62,201,138,20,438,Washington
Snohomish,818699.99,637831,26438,12746.01,94388,5006,42291,Washington
Spokane,515249.99,456597.01,10225,8925.99,13566,3050,22886.01,Washington
Stevens,45569.99,40527,209,2608,354,90,1782,Washington
Thurston,285800,233292,9227.01,4546.01,18465,2783,17487,Washington
Wahkiakum,4190,3904.99,18,59.01,39,8,161,Washington
Walla Walla,62200,56878.99,1355.99,852,1059,247,1807,Washington
Whatcom,225300,194805,2767,7282,10092,751,9603,Washington
Whitman,50130,41057,997,422,5269.99,116.01,2268,Washington
Yakima,255950.01,223423,3875.01,15048.01,4341,566,8696.99,Washington
Alameda,1671329,823593,184368,17797,540391,15761,89419,California
Alpine,1129,767,4,290,18,0,50,California
Amador,39752,35636,1066,925,665,116,1344,California
Butte,219186,187742,4158,5547,10984,628,10127,California
Calaveras,45905,41752,498,905,859,122,1769,California
Colusa,21547,19630,282,594,337,130,574,California
Contra Costa,1153526,751283,110064,11709,211118,6871,62481,California
Del Norte,27812,21720,980,2692,861,54,1505,California
El Dorado,192843,170936,2000,2574,9317,436,7580,California
Fresno,999101,765202,57976,29725,111353,2815,32030,California
Glenn,28393,25292,377,915,890,61,858,California
Humboldt,135558,112830,2018,8637,3930,449,7694,California
Imperial,181215,163444,6009,4496,3823,357,3086,California
Inyo,18039,14404,219,2436,307,30,643,California
Kern,900202,740959,56282,23718,48279,2454,28510,California
Kings,152940,123647,11417,4905,6714,537,5720,California
